Rk,G,Date,Series,Tm,Opp,G#,Outcome,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc.1,Home/Away,Away,Home,Win/Loss,Point Diff,Stint,MP(dec)
244.0,5.0,2020-08-29,WC1,LAL,POR,5.0,W (+9),1.0,33:52,14.0,19.0,0.737,4.0,7.0,0.571,4.0,4.0,1.0,0.0,10.0,10.0,10.0,1.0,1.0,5.0,1.0,36.0,34.6,20.0,0.867,0.842,0.0,32.2,16.9,50.3,1.3,2.1,19.4,31.4,144.0,109.0,34.6,H,0.0,1.0,W,9.0,LAL,33.86666666666667
245.0,6.0,2020-09-04,WCS,LAL,HOU,1.0,L (-15),1.0,36:34,7.0,15.0,0.467,2.0,7.0,0.286,4.0,5.0,0.8,1.0,7.0,8.0,7.0,0.0,2.0,4.0,2.0,20.0,16.2,-15.0,0.581,0.533,2.8,26.3,12.8,35.6,0.0,6.3,18.9,26.2,109.0,116.0,16.2,H,0.0,1.0,L,-15.0,LAL,36.56666666666667
246.0,7.0,2020-09-06,WCS,LAL,HOU,2.0,W (+8),1.0,39:16,10.0,17.0,0.588,1.0,5.0,0.2,7.0,10.0,0.7,0.0,11.0,11.0,9.0,4.0,2.0,7.0,3.0,28.0,25.7,15.0,0.654,0.618,0.0,33.6,17.7,31.6,5.1,9.8,24.6,32.8,111.0,101.0,25.7,H,0.0,1.0,W,8.0,LAL,39.266666666666666
247.0,8.0,2020-09-08,WCS,LAL,HOU,3.0,W (+10),1.0,37:31,13.0,23.0,0.565,4.0,9.0,0.444,6.0,10.0,0.6,0.0,7.0,7.0,5.0,1.0,4.0,2.0,1.0,36.0,30.5,8.0,0.657,0.652,0.0,22.4,12.3,24.3,1.4,10.0,6.8,37.2,130.0,106.0,30.5,@,1.0,0.0,W,10.0,LAL,37.516666666666666
248.0,9.0,2020-09-10,WCS,LAL,HOU,4.0,W (+10),1.0,33:45,7.0,17.0,0.412,0.0,5.0,0.0,2.0,3.0,0.667,1.0,14.0,15.0,9.0,3.0,0.0,4.0,2.0,16.0,15.9,15.0,0.437,0.412,3.8,48.6,27.4,38.7,4.5,0.0,17.9,28.6,97.0,100.0,15.9,@,1.0,0.0,W,10.0,LAL,33.75
249.0,10.0,2020-09-12,WCS,LAL,HOU,5.0,W (+23),1.0,30:48,9.0,18.0,0.5,3.0,8.0,0.375,8.0,10.0,0.8,2.0,9.0,11.0,7.0,2.0,1.0,4.0,2.0,29.0,26.1,19.0,0.647,0.583,11.1,26.5,21.2,43.7,3.2,3.9,15.2,38.9,128.0,89.0,26.1,H,0.0,1.0,W,23.0,LAL,30.8
250.0,11.0,2020-09-18,WCF,LAL,DEN,1.0,W (+12),1.0,30:54,6.0,11.0,0.545,0.0,2.0,0.0,3.0,4.0,0.75,1.0,5.0,6.0,12.0,0.0,0.0,3.0,2.0,15.0,16.1,15.0,0.588,0.545,4.1,23.5,13.1,53.8,0.0,0.0,19.0,22.2,126.0,121.0,16.1,H,0.0,1.0,W,12.0,LAL,30.9
251.0,12.0,2020-09-20,WCF,LAL,DEN,2.0,W (+2),1.0,36:25,10.0,20.0,0.5,3.0,8.0,0.375,3.0,4.0,0.75,2.0,9.0,11.0,4.0,0.0,2.0,6.0,2.0,26.0,17.1,-9.0,0.597,0.575,7.1,31.2,19.3,22.1,0.0,5.3,21.6,32.0,104.0,105.0,17.1,H,0.0,1.0,W,2.0,LAL,36.416666666666664
252.0,13.0,2020-09-22,WCF,LAL,DEN,3.0,L (-8),1.0,37:15,14.0,23.0,0.609,1.0,4.0,0.25,1.0,2.0,0.5,1.0,9.0,10.0,11.0,2.0,2.0,6.0,1.0,30.0,27.2,2.0,0.628,0.63,3.3,38.7,18.7,56.8,2.6,5.9,20.1,35.4,108.0,110.0,27.2,@,1.0,0.0,L,-8.0,LAL,37.25
253.0,14.0,2020-09-24,WCF,LAL,DEN,4.0,W (+6),1.0,38:21,7.0,18.0,0.389,1.0,3.0,0.333,11.0,14.0,0.786,1.0,8.0,9.0,8.0,0.0,0.0,0.0,2.0,26.0,22.9,8.0,0.538,0.417,3.2,28.6,15.2,34.2,0.0,0.0,0.0,29.0,135.0,124.0,22.9,@,1.0,0.0,W,6.0,LAL,38.35
254.0,15.0,2020-09-26,WCF,LAL,DEN,5.0,W (+10),1.0,40:01,15.0,25.0,0.6,1.0,4.0,0.25,7.0,8.0,0.875,3.0,13.0,16.0,10.0,1.0,0.0,2.0,2.0,38.0,37.3,12.0,0.666,0.62,11.2,33.2,24.3,50.0,1.2,0.0,6.6,35.6,140.0,107.0,37.3,H,0.0,1.0,W,10.0,LAL,40.016666666666666
255.0,16.0,2020-09-30,FIN,LAL,MIA,1.0,W (+18),1.0,36:24,9.0,17.0,0.529,2.0,4.0,0.5,5.0,6.0,0.833,1.0,12.0,13.0,9.0,1.0,0.0,2.0,3.0,25.0,24.7,10.0,0.636,0.588,3.3,31.6,19.0,45.4,1.4,0.0,9.2,26.5,134.0,103.0,24.7,H,0.0,1.0,W,18.0,LAL,36.4
256.0,17.0,2020-10-02,FIN,LAL,MIA,2.0,W (+10),1.0,39:09,14.0,25.0,0.56,3.0,8.0,0.375,2.0,5.0,0.4,2.0,7.0,9.0,9.0,1.0,1.0,0.0,2.0,33.0,30.6,7.0,0.607,0.62,5.2,25.2,13.6,34.7,1.3,2.8,0.0,29.4,144.0,124.0,30.6,H,0.0,1.0,W,10.0,LAL,39.15
257.0,18.0,2020-10-04,FIN,LAL,MIA,3.0,L (-11),1.0,39:13,9.0,16.0,0.563,1.0,5.0,0.2,6.0,9.0,0.667,1.0,9.0,10.0,8.0,0.0,2.0,8.0,2.0,25.0,17.8,-4.0,0.626,0.594,2.7,31.5,15.3,42.6,0.0,5.3,28.6,30.9,100.0,117.0,17.8,@,1.0,0.0,L,-11.0,LAL,39.21666666666667
258.0,19.0,2020-10-06,FIN,LAL,MIA,4.0,W (+6),1.0,38:38,8.0,16.0,0.5,2.0,5.0,0.4,10.0,12.0,0.833,2.0,10.0,12.0,8.0,1.0,0.0,6.0,2.0,28.0,23.4,-2.0,0.658,0.563,5.9,31.9,18.4,39.7,1.4,0.0,22.0,32.8,117.0,105.0,23.4,@,1.0,0.0,W,6.0,LAL,38.63333333333333
259.0,20.0,2020-10-09,FIN,LAL,MIA,5.0,L (-3),1.0,41:51,15.0,21.0,0.714,6.0,9.0,0.667,4.0,6.0,0.667,3.0,10.0,13.0,7.0,3.0,0.0,4.0,1.0,40.0,39.1,7.0,0.846,0.857,9.1,30.2,19.6,38.6,3.7,0.0,14.5,29.8,152.0,115.0,39.1,H,0.0,1.0,L,-3.0,LAL,41.85
260.0,21.0,2020-10-11,FIN,LAL,MIA,6.0,W (+13),1.0,41:13,13.0,20.0,0.65,1.0,5.0,0.2,1.0,4.0,0.25,3.0,11.0,14.0,10.0,1.0,0.0,1.0,3.0,28.0,29.2,18.0,0.643,0.675,7.9,29.8,18.7,41.8,1.3,0.0,4.4,24.7,142.0,99.0,29.2,@,1.0,0.0,W,13.0,LAL,41.21666666666667
261.0,1.0,2021-05-23,WC1,LAL,PHO,1.0,L (-9),1.0,36:04,6.0,13.0,0.462,3.0,7.0,0.429,3.0,6.0,0.5,1.0,6.0,7.0,10.0,3.0,0.0,5.0,1.0,18.0,17.2,2.0,0.575,0.577,3.2,20.5,11.6,53.2,4.6,0.0,24.2,26.8,104.0,106.0,17.2,@,1.0,0.0,L,-9.0,LAL,36.06666666666667
262.0,2.0,2021-05-25,WC1,LAL,PHO,2.0,W (+7),1.0,38:54,9.0,16.0,0.563,4.0,9.0,0.444,1.0,1.0,1.0,0.0,4.0,4.0,9.0,2.0,0.0,1.0,3.0,23.0,22.7,14.0,0.7,0.688,0.0,14.1,7.1,44.6,2.7,0.0,5.7,21.4,144.0,114.0,22.7,@,1.0,0.0,W,7.0,LAL,38.9
263.0,3.0,2021-05-27,WC1,LAL,PHO,3.0,W (+14),1.0,37:45,9.0,19.0,0.474,1.0,5.0,0.2,2.0,3.0,0.667,1.0,5.0,6.0,9.0,1.0,0.0,7.0,0.0,21.0,13.4,15.0,0.517,0.5,3.0,14.4,8.9,43.1,1.3,0.0,25.6,29.1,95.0,101.0,13.4,H,0.0,1.0,W,14.0,LAL,37.75
264.0,4.0,2021-05-30,WC1,LAL,PHO,4.0,L (-8),1.0,37:50,10.0,21.0,0.476,1.0,7.0,0.143,4.0,7.0,0.571,2.0,10.0,12.0,6.0,1.0,0.0,6.0,1.0,25.0,16.3,6.0,0.519,0.5,5.2,25.4,15.4,39.4,1.3,0.0,19.9,36.3,93.0,103.0,16.3,H,0.0,1.0,L,-8.0,LAL,37.833333333333336
265.0,5.0,2021-06-01,WC1,LAL,PHO,5.0,L (-30),1.0,31:39,9.0,19.0,0.474,6.0,10.0,0.6,0.0,0.0,0.0,1.0,4.0,5.0,7.0,0.0,0.0,3.0,1.0,24.0,17.7,-24.0,0.632,0.632,2.8,13.8,7.7,69.2,0.0,0.0,13.6,30.5,118.0,117.0,17.7,@,1.0,0.0,L,-30.0,LAL,31.65
266.0,6.0,2021-06-03,WC1,LAL,PHO,6.0,L (-13),1.0,41:25,11.0,26.0,0.423,3.0,10.0,0.3,4.0,6.0,0.667,2.0,7.0,9.0,7.0,2.0,2.0,3.0,1.0,29.0,22.8,-3.0,0.506,0.481,5.2,25.4,13.5,32.1,2.7,6.1,9.5,34.9,106.0,122.0,22.8,H,0.0,1.0,L,-13.0,LAL,41.416666666666664
