Rk,G,Date,Series,Tm,Unnamed: 5,Opp,G#,Unnamed: 8,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Away,Home,Outcome,Point Diff
108.0,16.0,2012-06-05,ECF,MIA,0,BOS,5.0,L (-4),1.0,45:20,11.0,25.0,0.44,2.0,6.0,0.333,6.0,8.0,0.75,3.0,10.0,13.0,2.0,2.0,1.0,3.0,1.0,30.0,21.9,0.0,0.0,1.0,L,-4.0
109.0,17.0,2012-06-07,ECF,MIA,@,BOS,6.0,W (+19),1.0,44:49,19.0,26.0,0.731,2.0,4.0,0.5,5.0,9.0,0.556,2.0,13.0,15.0,5.0,0.0,0.0,4.0,3.0,45.0,36.4,22.0,1.0,0.0,W,19.0
110.0,18.0,2012-06-09,ECF,MIA,0,BOS,7.0,W (+13),1.0,47:32,9.0,21.0,0.429,1.0,5.0,0.2,12.0,17.0,0.706,2.0,10.0,12.0,2.0,1.0,1.0,3.0,0.0,31.0,22.4,13.0,0.0,1.0,W,13.0
111.0,19.0,2012-06-12,FIN,MIA,@,OKC,1.0,L (-11),1.0,45:50,11.0,24.0,0.458,1.0,3.0,0.333,7.0,9.0,0.778,1.0,8.0,9.0,4.0,4.0,0.0,4.0,1.0,30.0,22.3,-11.0,1.0,0.0,L,-11.0
112.0,20.0,2012-06-14,FIN,MIA,@,OKC,2.0,W (+4),1.0,42:19,10.0,22.0,0.455,0.0,2.0,0.0,12.0,12.0,1.0,2.0,6.0,8.0,5.0,1.0,0.0,2.0,4.0,32.0,24.7,6.0,1.0,0.0,W,4.0
113.0,21.0,2012-06-17,FIN,MIA,0,OKC,3.0,W (+6),1.0,43:50,11.0,23.0,0.478,1.0,4.0,0.25,6.0,8.0,0.75,5.0,9.0,14.0,3.0,0.0,0.0,4.0,1.0,29.0,20.4,8.0,0.0,1.0,W,6.0
114.0,22.0,2012-06-19,FIN,MIA,0,OKC,4.0,W (+6),1.0,44:21,10.0,20.0,0.5,1.0,4.0,0.25,5.0,8.0,0.625,3.0,6.0,9.0,12.0,2.0,0.0,3.0,2.0,26.0,25.3,8.0,0.0,1.0,W,6.0
115.0,23.0,2012-06-21,FIN,MIA,0,OKC,5.0,W (+15),1.0,44:09,9.0,19.0,0.474,0.0,3.0,0.0,8.0,9.0,0.889,4.0,7.0,11.0,13.0,1.0,2.0,6.0,2.0,26.0,25.5,20.0,0.0,1.0,W,15.0
116.0,1.0,2013-04-21,EC1,MIA,0,MIL,1.0,W (+23),1.0,34:31,9.0,11.0,0.818,1.0,2.0,0.5,8.0,11.0,0.727,2.0,8.0,10.0,8.0,0.0,0.0,5.0,2.0,27.0,25.3,14.0,0.0,1.0,W,23.0
117.0,2.0,2013-04-23,EC1,MIA,0,MIL,2.0,W (+12),1.0,38:39,6.0,14.0,0.429,0.0,3.0,0.0,7.0,8.0,0.875,1.0,7.0,8.0,6.0,1.0,0.0,4.0,2.0,19.0,14.4,13.0,0.0,1.0,W,12.0
118.0,3.0,2013-04-25,EC1,MIA,@,MIL,3.0,W (+13),1.0,32:48,9.0,14.0,0.643,2.0,4.0,0.5,2.0,4.0,0.5,0.0,5.0,5.0,6.0,0.0,0.0,5.0,2.0,22.0,14.9,14.0,1.0,0.0,W,13.0
119.0,4.0,2013-04-28,EC1,MIA,@,MIL,4.0,W (+11),1.0,41:06,13.0,20.0,0.65,0.0,2.0,0.0,4.0,7.0,0.571,2.0,6.0,8.0,7.0,3.0,1.0,5.0,3.0,30.0,25.6,16.0,1.0,0.0,W,11.0
120.0,5.0,2013-05-06,ECS,MIA,0,CHI,1.0,L (-7),1.0,43:44,8.0,17.0,0.471,1.0,3.0,0.333,7.0,9.0,0.778,2.0,6.0,8.0,7.0,2.0,1.0,2.0,2.0,24.0,22.5,-15.0,0.0,1.0,L,-7.0
121.0,6.0,2013-05-08,ECS,MIA,0,CHI,2.0,W (+37),1.0,32:29,7.0,12.0,0.583,1.0,3.0,0.333,4.0,8.0,0.5,0.0,5.0,5.0,9.0,3.0,0.0,3.0,1.0,19.0,19.2,25.0,0.0,1.0,W,37.0
122.0,7.0,2013-05-10,ECS,MIA,@,CHI,3.0,W (+10),1.0,44:25,6.0,17.0,0.353,2.0,4.0,0.5,11.0,11.0,1.0,0.0,8.0,8.0,7.0,2.0,0.0,1.0,0.0,25.0,23.8,7.0,1.0,0.0,W,10.0
123.0,8.0,2013-05-13,ECS,MIA,@,CHI,4.0,W (+23),1.0,43:12,9.0,20.0,0.45,1.0,4.0,0.25,8.0,9.0,0.889,0.0,7.0,7.0,8.0,2.0,0.0,5.0,0.0,27.0,20.9,27.0,1.0,0.0,W,23.0
124.0,9.0,2013-05-15,ECS,MIA,0,CHI,5.0,W (+3),1.0,44:26,5.0,14.0,0.357,1.0,3.0,0.333,12.0,15.0,0.8,0.0,7.0,7.0,8.0,2.0,0.0,2.0,3.0,23.0,20.5,4.0,0.0,1.0,W,3.0
125.0,10.0,2013-05-22,ECF,MIA,0,IND,1.0,W (+1),1.0,46:33,12.0,24.0,0.5,2.0,6.0,0.333,4.0,7.0,0.571,3.0,7.0,10.0,10.0,0.0,3.0,4.0,5.0,30.0,24.1,3.0,0.0,1.0,W,1.0
126.0,11.0,2013-05-24,ECF,MIA,0,IND,2.0,L (-4),1.0,45:17,14.0,20.0,0.7,3.0,7.0,0.429,5.0,7.0,0.714,4.0,4.0,8.0,3.0,3.0,1.0,5.0,3.0,36.0,30.4,-7.0,0.0,1.0,L,-4.0
127.0,12.0,2013-05-26,ECF,MIA,@,IND,3.0,W (+18),1.0,41:13,8.0,17.0,0.471,0.0,1.0,0.0,6.0,6.0,1.0,0.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,22.0,16.6,22.0,1.0,0.0,W,18.0
128.0,13.0,2013-05-28,ECF,MIA,@,IND,4.0,L (-7),1.0,43:19,8.0,18.0,0.444,4.0,7.0,0.571,4.0,6.0,0.667,4.0,2.0,6.0,5.0,1.0,3.0,2.0,6.0,24.0,19.4,-3.0,1.0,0.0,L,-7.0
129.0,14.0,2013-05-30,ECF,MIA,0,IND,5.0,W (+11),1.0,44:29,13.0,26.0,0.5,3.0,7.0,0.429,1.0,4.0,0.25,0.0,8.0,8.0,6.0,2.0,1.0,3.0,1.0,30.0,21.7,14.0,0.0,1.0,W,11.0
130.0,15.0,2013-06-01,ECF,MIA,@,IND,6.0,L (-14),1.0,42:17,10.0,21.0,0.476,2.0,4.0,0.5,7.0,8.0,0.875,0.0,7.0,7.0,6.0,2.0,1.0,4.0,2.0,29.0,22.1,-22.0,1.0,0.0,L,-14.0
